S0,S1,S2,S3,S4,S5,S6,S7,,,,,,
280,756,605.774,610.972,613.808,556.011,570.59,563.26,,,,,,
281,812,650.504,655.751,658.882,596.093,611.172,603.364,,,,,,
282,870,696.835,702.136,705.59,637.571,653.149,644.879,,,,,,
283,930,744.766,750.128,753.932,680.445,696.52,687.807,,,,,,
284,992,794.296,799.724,803.897,724.714,741.287,732.15,,,,,,
285,1056,845.426,848.424,846.743,770.38,786.848,773.557,,,,,,
286,1122,893.564,887.031,879.413,814.935,822.236,805.735,,,,,,
287,1190,924.852,911.302,900.24,843.084,844.558,826.468,,,,,,
288,1225,935.54,920.267,911.119,852.309,852.314,835.83,,,,,,
289,0,0,0,0,0,0,0,,,,,,
290,2,1.90636,1.9635,1.9736,1.90636,1.9635,1.9736,,,,,,
291,6,5.43562,5.72662,5.76821,5.43558,5.72662,5.76821,,,,,,
292,12,10.3462,11.0233,11.1164,10.3448,11.0231,11.1163,,,,,,
293,20,16.5724,17.7282,17.8866,16.56,17.7265,17.8845,,,,,,
294,30,24.1665,25.8007,26.0254,24.1129,25.79,26.0108,,,,,,
295,42,33.1779,35.2457,35.5255,33.0229,35.2058,35.4686,,,,,,
296,56,43.6545,46.0867,46.37,43.3046,45.978,46.2177,,,,,,
297,72,55.6378,58.3539,58.5773,54.967,58.1133,58.2405,,,,,,
298,90,69.1474,72.0763,72.1905,68.0162,71.6179,71.5627,,,,,,
299,110,84.1921,87.2317,87.2211,82.4555,86.4813,86.1854,,,,,,
300,132,100.802,103.86,103.69,98.2872,102.71,102.112,,,,,,
301,156,118.995,121.999,121.636,115.513,120.321,119.346,,,,,,
302,182,138.792,141.657,141.1,134.133,139.318,137.896,,,,,,
303,210,160.2,162.874,162.058,154.148,159.703,157.769,,,,,,
304,240,183.223,185.667,184.53,175.559,181.479,178.972,,,,,,
305,272,207.86,210.048,208.576,198.365,204.645,201.494,,,,,,
306,306,234.107,236.026,234.2,222.567,229.204,225.341,,,,,,
307,342,261.973,263.608,261.389,248.165,255.156,250.541,,,,,,
308,380,291.456,292.791,290.182,275.159,282.502,277.101,,,,,,
309,420,322.555,323.569,320.571,303.549,311.242,305.029,,,,,,
310,462,355.268,355.963,352.594,333.335,341.377,334.334,,,,,,
311,506,389.593,389.974,386.253,364.517,372.907,365.014,,,,,,
312,552,425.529,425.595,421.548,397.094,405.832,397.077,,,,,,
313,600,463.073,462.832,458.49,431.068,440.153,430.517,,,,,,
314,650,502.224,501.688,497.081,466.438,475.869,465.344,,,,,,
315,702,542.979,542.161,537.322,503.204,512.98,501.572,,,,,,
316,756,585.339,584.245,579.204,541.366,551.488,539.204,,,,,,
317,812,629.302,627.944,622.733,580.923,591.391,578.24,,,,,,
318,870,674.869,673.258,667.91,621.877,632.69,618.688,,,,,,
319,930,722.038,720.185,714.737,664.227,675.385,660.55,,,,,,
320,992,770.808,768.723,763.21,707.973,719.475,703.828,,,,,,
321,1056,821.178,818.872,811.526,753.115,764.962,748.498,,,,,,
322,1122,873.148,860.349,846.062,799.652,804.293,780.581,,,,,,
323,1190,906.3,885.316,867.205,830.484,826.658,800.799,,,,,,
324,1225,917.269,894.493,879.037,839.956,834.999,810.93,,,,,,
325,0,0,0,0,0,0,0,,,,,,
326,2,1.65486,1.78807,1.81968,1.65486,1.78807,1.81968,,,,,,
327,6,4.55428,5.00143,5.09523,4.55427,5.00143,5.09523,,,,,,
328,12,8.64601,9.46745,9.60569,8.64565,9.46743,9.60566,,,,,,
329,20,13.9939,15.0845,15.2379,13.9895,15.0841,15.2374,,,,,,
330,30,20.6723,21.9285,22.0801,20.6489,21.9255,22.0761,,,,,,
331,42,28.7365,30.0672,30.1725,28.6691,30.0537,30.1552,,,,,,
332,56,38.204,39.5216,39.5182,38.0737,39.4985,39.4864,,,,,,
333,72,49.1188,50.3235,50.133,48.8549,50.2626,50.0584,,,,,,
334,90,61.5479,62.4969,62.0394,61.0303,62.3731,61.8635,,,,,,
335,110,75.5255,76.1073,75.32,74.6176,75.8559,74.9669,,,,,,
336,132,91.0783,91.1982,90.0031,89.6168,90.7399,89.3787,,,,,,
337,156,108.226,107.799,106.113,106.026,107.032,105.107,,,,,,
338,182,126.965,125.916,123.68,123.843,124.737,122.157,,,,,,
